Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,248.0,248.0,240.0,244.0,244.0,11300
2025-05-14,244.0,254.0,232.0,234.0,234.0,194100
2025-05-15,238.0,246.0,234.0,236.0,236.0,137000
2025-05-16,236.0,244.0,236.0,238.0,238.0,57000
2025-05-19,238.0,244.0,238.0,244.0,244.0,211100
2025-05-20,244.0,244.0,240.0,242.0,242.0,81900
2025-05-21,246.0,246.0,238.0,240.0,240.0,102400
2025-05-22,240.0,252.0,238.0,246.0,246.0,238300
2025-05-23,248.0,256.0,246.0,250.0,250.0,38200
2025-05-26,250.0,256.0,248.0,252.0,252.0,33400
2025-05-27,252.0,314.0,252.0,314.0,314.0,9108000
2025-05-28,320.0,334.0,284.0,290.0,290.0,3810800
2025-06-02,290.0,290.0,264.0,276.0,276.0,1259700
2025-06-03,276.0,332.0,276.0,300.0,300.0,6925300
2025-06-04,300.0,308.0,280.0,298.0,298.0,1014400
2025-06-05,298.0,300.0,284.0,286.0,286.0,319400
2025-06-10,286.0,304.0,282.0,296.0,296.0,774100
2025-06-11,296.0,308.0,296.0,300.0,300.0,350300
2025-06-12,300.0,304.0,286.0,292.0,292.0,193400
2025-06-13,290.0,292.0,286.0,290.0,290.0,38700
2025-06-16,290.0,300.0,288.0,288.0,288.0,107200
2025-06-17,300.0,300.0,286.0,290.0,290.0,29100
2025-06-18,290.0,296.0,286.0,290.0,290.0,87100
2025-06-19,294.0,294.0,272.0,272.0,272.0,201200
2025-06-20,274.0,278.0,268.0,270.0,270.0,90700
2025-06-23,268.0,268.0,248.0,250.0,250.0,314600
2025-06-24,260.0,260.0,248.0,250.0,250.0,46400
2025-06-25,254.0,256.0,250.0,254.0,254.0,38200
2025-06-26,254.0,270.0,254.0,262.0,262.0,168200
2025-06-30,262.0,262.0,250.0,250.0,250.0,167700
2025-07-01,254.0,256.0,248.0,250.0,250.0,69300
2025-07-02,250.0,254.0,246.0,246.0,246.0,79900
2025-07-03,248.0,254.0,248.0,248.0,248.0,16400
2025-07-04,254.0,278.0,252.0,262.0,262.0,252100
2025-07-07,262.0,266.0,260.0,260.0,260.0,36300
2025-07-08,258.0,264.0,258.0,260.0,260.0,17600
2025-07-09,268.0,274.0,250.0,260.0,260.0,206000
2025-07-10,258.0,268.0,258.0,260.0,260.0,32600
2025-07-11,268.0,268.0,254.0,256.0,256.0,87400
2025-07-14,264.0,264.0,250.0,250.0,250.0,166900
2025-07-15,258.0,258.0,232.0,248.0,248.0,334400
2025-07-16,250.0,270.0,250.0,256.0,256.0,466600
2025-07-17,256.0,266.0,252.0,252.0,252.0,86700
2025-07-18,252.0,266.0,252.0,256.0,256.0,84700
2025-07-21,252.0,260.0,250.0,258.0,258.0,351600
2025-07-22,258.0,258.0,250.0,256.0,256.0,87400
2025-07-23,254.0,262.0,250.0,250.0,250.0,72800
2025-07-24,250.0,256.0,240.0,250.0,250.0,432100
2025-07-25,250.0,264.0,248.0,258.0,258.0,592600
2025-07-28,258.0,262.0,246.0,260.0,260.0,405600
2025-07-29,256.0,260.0,250.0,254.0,254.0,532800
2025-07-30,254.0,260.0,250.0,252.0,252.0,65400
2025-07-31,256.0,256.0,250.0,252.0,252.0,109300
2025-08-01,254.0,258.0,252.0,252.0,252.0,80800
2025-08-04,256.0,256.0,250.0,252.0,252.0,95800
2025-08-05,252.0,256.0,236.0,250.0,250.0,748300
2025-08-06,246.0,254.0,244.0,252.0,252.0,130700
2025-08-07,254.0,254.0,248.0,250.0,250.0,100300
2025-08-08,256.0,256.0,246.0,248.0,248.0,154600
2025-08-11,248.0,266.0,248.0,254.0,254.0,220200
