Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,354.0,358.0,342.0,348.0,348.0,5569100
2025-05-14,348.0,372.0,346.0,366.0,366.0,8424300
2025-05-15,368.0,376.0,362.0,370.0,370.0,4874800
2025-05-16,368.0,374.0,364.0,368.0,368.0,1546000
2025-05-19,372.0,376.0,366.0,368.0,368.0,1317400
2025-05-20,368.0,388.0,360.0,366.0,366.0,5127000
2025-05-21,364.0,388.0,364.0,382.0,382.0,2618300
2025-05-22,382.0,388.0,370.0,374.0,374.0,2175100
2025-05-23,370.0,386.0,368.0,386.0,386.0,3206200
2025-05-26,386.0,388.0,374.0,378.0,378.0,4684800
2025-05-27,380.0,386.0,364.0,386.0,386.0,2764700
2025-05-28,382.0,382.0,366.0,366.0,366.0,2435300
2025-06-02,368.0,372.0,356.0,362.0,362.0,1396500
2025-06-03,360.0,374.0,348.0,354.0,354.0,5216300
2025-06-04,352.0,364.0,338.0,352.0,352.0,3280500
2025-06-05,350.0,368.0,344.0,358.0,358.0,3158500
2025-06-10,356.0,400.0,356.0,384.0,384.0,14924200
2025-06-11,384.0,408.0,382.0,402.0,402.0,9332000
2025-06-12,404.0,408.0,396.0,400.0,400.0,2712200
2025-06-13,400.0,400.0,380.0,386.0,386.0,2610700
2025-06-16,386.0,400.0,380.0,392.0,392.0,3398500
2025-06-17,392.0,400.0,386.0,392.0,392.0,2914200
2025-06-18,394.0,398.0,364.0,372.0,372.0,4606900
2025-06-19,378.0,382.0,368.0,370.0,370.0,1693700
2025-06-20,370.0,380.0,354.0,360.0,360.0,1061600
2025-06-23,354.0,380.0,330.0,354.0,354.0,6515900
2025-06-24,356.0,372.0,354.0,360.0,360.0,2126700
2025-06-25,360.0,380.0,344.0,354.0,354.0,3000600
2025-06-26,356.0,360.0,352.0,354.0,354.0,1108900
2025-06-30,354.0,362.0,354.0,358.0,358.0,1016000
2025-07-01,358.0,378.0,358.0,366.0,366.0,929500
2025-07-02,364.0,378.0,360.0,366.0,366.0,1518300
2025-07-03,366.0,370.0,362.0,362.0,362.0,850100
2025-07-04,364.0,374.0,364.0,368.0,368.0,478000
2025-07-07,370.0,370.0,360.0,362.0,362.0,632700
2025-07-08,360.0,400.0,360.0,378.0,378.0,6099200
2025-07-09,376.0,392.0,368.0,368.0,368.0,5444900
2025-07-10,368.0,400.0,362.0,376.0,376.0,6402700
2025-07-11,380.0,384.0,372.0,372.0,372.0,2219000
2025-07-14,378.0,406.0,372.0,396.0,396.0,11383100
2025-07-15,396.0,396.0,378.0,380.0,380.0,7677800
2025-07-16,396.0,420.0,388.0,412.0,412.0,19386800
2025-07-17,412.0,422.0,410.0,416.0,416.0,4905800
2025-07-18,418.0,424.0,406.0,420.0,420.0,7171700
2025-07-21,424.0,440.0,420.0,430.0,430.0,10465500
2025-07-22,430.0,430.0,410.0,414.0,414.0,4383300
2025-07-23,416.0,418.0,402.0,408.0,408.0,4186100
2025-07-24,410.0,416.0,408.0,408.0,408.0,2177900
2025-07-25,408.0,408.0,400.0,406.0,406.0,2209300
2025-07-28,410.0,422.0,410.0,420.0,420.0,4138900
2025-07-29,422.0,424.0,414.0,418.0,418.0,1916900
2025-07-30,420.0,422.0,400.0,404.0,404.0,5029100
2025-07-31,404.0,408.0,390.0,390.0,390.0,4156700
2025-08-01,390.0,406.0,390.0,400.0,400.0,4766500
2025-08-04,400.0,406.0,392.0,400.0,400.0,3623100
2025-08-05,404.0,404.0,388.0,390.0,390.0,2344900
2025-08-06,390.0,396.0,388.0,392.0,392.0,1198300
2025-08-07,396.0,396.0,384.0,390.0,390.0,1707500
2025-08-08,390.0,394.0,382.0,394.0,394.0,1880600
2025-08-11,396.0,396.0,390.0,392.0,392.0,1493000
