Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,52.0,52.0,52.0,52.0,52.0,0.0
2025-05-14,52.0,52.0,52.0,52.0,52.0,0.0
2025-05-15,52.0,52.0,52.0,52.0,52.0,0.0
2025-05-16,52.0,52.0,52.0,52.0,52.0,0.0
2025-05-19,52.0,52.0,52.0,52.0,52.0,0.0
2025-05-20,52.0,52.0,52.0,52.0,52.0,0.0
2025-05-21,52.0,52.0,52.0,52.0,52.0,0.0
2025-05-22,52.0,52.0,52.0,52.0,52.0,0.0
2025-05-23,52.0,52.0,52.0,52.0,52.0,0.0
2025-05-26,52.0,52.0,52.0,52.0,52.0,0.0
2025-05-27,52.0,52.0,52.0,52.0,52.0,0.0
2025-05-28,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-02,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-03,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-04,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-05,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-10,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-11,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-12,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-13,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-16,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-17,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-18,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-19,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-20,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-23,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-24,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-25,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-26,52.0,52.0,52.0,52.0,52.0,0.0
2025-06-30,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-01,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-02,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-03,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-04,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-07,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-08,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-09,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-10,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-11,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-14,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-15,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-16,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-17,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-18,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-21,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-22,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-23,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-24,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-25,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-28,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-29,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-30,52.0,52.0,52.0,52.0,52.0,0.0
2025-07-31,52.0,52.0,52.0,52.0,52.0,0.0
2025-08-01,52.0,52.0,52.0,52.0,52.0,0.0
2025-08-04,52.0,52.0,52.0,52.0,52.0,0.0
2025-08-05,52.0,52.0,52.0,52.0,52.0,0.0
2025-08-06,52.0,52.0,52.0,52.0,52.0,0.0
2025-08-07,52.0,52.0,52.0,52.0,52.0,0.0
2025-08-08,52.0,52.0,52.0,52.0,52.0,0.0
