Date,Open,High,Low,Close,Adj Close,Volume
2025-06-10,220.0,228.0,218.0,226.0,226.0,45100
2025-06-11,224.0,226.0,224.0,226.0,226.0,1200
2025-06-12,226.0,226.0,226.0,226.0,226.0,1000
2025-06-13,220.0,226.0,220.0,226.0,226.0,13700
2025-06-16,224.0,224.0,212.0,218.0,218.0,27000
2025-06-17,214.0,216.0,210.0,214.0,214.0,45000
2025-06-18,214.0,220.0,212.0,212.0,212.0,6100
2025-06-19,216.0,216.0,204.0,214.0,214.0,9000
2025-06-20,208.0,220.0,200.0,220.0,220.0,2300
2025-06-23,220.0,220.0,208.0,210.0,210.0,3600
2025-06-24,210.0,220.0,200.0,220.0,220.0,12800
2025-06-25,216.0,216.0,210.0,216.0,216.0,7800
2025-06-26,200.0,216.0,200.0,206.0,206.0,898400
2025-06-30,220.0,220.0,200.0,210.0,210.0,15800
2025-07-01,210.0,220.0,204.0,218.0,218.0,7600
2025-07-02,218.0,218.0,206.0,214.0,214.0,442600
2025-07-03,204.0,214.0,204.0,204.0,204.0,124100
2025-07-04,204.0,210.0,200.0,206.0,206.0,678100
2025-07-07,208.0,210.0,192.0,206.0,206.0,443200
2025-07-08,200.0,206.0,196.0,206.0,206.0,96200
2025-07-09,208.0,208.0,202.0,204.0,204.0,326600
2025-07-10,208.0,212.0,202.0,204.0,204.0,1168500
2025-07-11,204.0,206.0,202.0,206.0,206.0,402700
2025-07-14,204.0,206.0,202.0,206.0,206.0,529600
2025-07-15,202.0,206.0,198.0,200.0,200.0,569800
2025-07-16,200.0,210.0,200.0,202.0,202.0,649500
2025-07-17,202.0,206.0,199.0,200.0,200.0,423900
2025-07-18,200.0,204.0,199.0,202.0,202.0,220300
2025-07-21,202.0,202.0,190.0,195.0,195.0,204400
2025-07-22,197.0,202.0,196.0,200.0,200.0,641400
2025-07-23,200.0,200.0,194.0,200.0,200.0,405500
2025-07-24,200.0,200.0,197.0,198.0,198.0,429600
2025-07-25,200.0,200.0,195.0,198.0,198.0,372000
2025-07-28,198.0,199.0,195.0,196.0,196.0,474700
2025-07-29,196.0,197.0,195.0,197.0,197.0,375000
2025-07-30,197.0,199.0,196.0,197.0,197.0,496200
2025-07-31,197.0,197.0,194.0,197.0,197.0,449600
2025-08-01,197.0,198.0,196.0,198.0,198.0,15400
2025-08-04,198.0,198.0,193.0,198.0,198.0,213000
2025-08-05,198.0,198.0,193.0,198.0,198.0,25200
2025-08-06,197.0,244.0,192.0,196.0,196.0,6155500
2025-08-07,193.0,198.0,190.0,197.0,197.0,1263000
2025-08-08,197.0,197.0,192.0,194.0,194.0,516800
2025-08-11,194.0,195.0,192.0,195.0,195.0,674200
