Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,101.0,102.0,99.0,102.0,97.96039581298828,323500
2025-03-04,102.0,102.0,100.0,101.0,97.0,28100
2025-03-05,101.0,102.0,99.0,101.0,97.0,23600
2025-03-06,103.0,103.0,93.0,101.0,97.0,284600
2025-03-07,102.0,102.0,100.0,100.0,96.03960418701172,16700
2025-03-10,100.0,102.0,100.0,102.0,97.96039581298828,21400
2025-03-11,100.0,102.0,99.0,102.0,97.96039581298828,32200
2025-03-12,100.0,102.0,100.0,102.0,97.96039581298828,18100
2025-03-13,101.0,102.0,101.0,101.0,97.0,25200
2025-03-14,101.0,101.0,99.0,100.0,96.03960418701172,27300
2025-03-17,100.0,101.0,98.0,100.0,96.03960418701172,20500
2025-03-18,101.0,101.0,99.0,100.0,96.03960418701172,34000
2025-03-19,99.0,100.0,97.0,99.0,95.07920837402344,187500
2025-03-20,101.0,101.0,99.0,100.0,96.03960418701172,22500
2025-03-21,100.0,100.0,98.0,100.0,96.03960418701172,19300
2025-03-24,100.0,100.0,97.0,100.0,96.03960418701172,21900
2025-03-25,100.0,100.0,93.0,99.0,95.07920837402344,58500
2025-03-26,99.0,101.0,95.0,99.0,95.07920837402344,165500
2025-03-27,99.0,103.0,99.0,101.0,97.0,22500
2025-04-08,99.0,101.0,91.0,97.0,93.15841674804688,167900
2025-04-09,96.0,102.0,88.0,93.0,89.31683349609375,660500
2025-04-10,93.0,97.0,92.0,95.0,91.23762512207031,101100
2025-04-11,94.0,96.0,93.0,94.0,90.27722930908203,65300
2025-04-14,94.0,94.0,89.0,90.0,86.4356460571289,1067000
2025-04-15,90.0,93.0,90.0,91.0,87.39604187011719,180800
2025-04-16,91.0,93.0,91.0,92.0,88.35643768310547,48000
2025-04-17,94.0,94.0,91.0,93.0,89.31683349609375,30000
2025-04-21,93.0,93.0,92.0,93.0,89.31683349609375,14800
2025-04-22,93.0,94.0,92.0,94.0,90.27722930908203,132000
2025-04-23,93.0,94.0,92.0,93.0,89.31683349609375,367000
2025-04-24,93.0,96.0,92.0,95.0,91.23762512207031,120100
2025-04-25,95.0,99.0,94.0,95.0,91.23762512207031,98500
2025-04-28,95.0,97.0,94.0,96.0,92.1980209350586,90400
2025-04-29,96.0,98.0,95.0,98.0,94.11881256103516,97900
2025-04-30,97.0,98.0,96.0,97.0,93.15841674804688,64800
2025-05-02,97.0,100.0,95.0,99.0,95.07920837402344,70700
2025-05-05,97.0,101.0,97.0,99.0,95.07920837402344,124200
2025-05-06,95.0,99.0,95.0,99.0,95.07920837402344,99600
2025-05-07,95.0,99.0,95.0,97.0,93.15841674804688,76200
2025-05-08,97.0,99.0,94.0,97.0,93.15841674804688,77600
2025-05-09,97.0,97.0,93.0,95.0,91.23762512207031,287600
2025-05-14,95.0,95.0,93.0,95.0,91.23762512207031,115300
2025-05-15,95.0,99.0,95.0,99.0,95.07920837402344,179200
2025-05-16,100.0,100.0,96.0,99.0,95.07920837402344,206600
2025-05-19,95.0,102.0,95.0,100.0,96.03960418701172,183700
2025-05-20,100.0,102.0,99.0,101.0,97.0,188000
2025-05-21,101.0,102.0,96.0,100.0,96.03960418701172,123700
2025-05-22,100.0,102.0,100.0,100.0,96.03960418701172,75400
2025-05-23,101.0,101.0,100.0,100.0,96.03960418701172,18200
2025-05-26,101.0,104.0,100.0,102.0,97.96039581298828,167700
2025-05-27,102.0,103.0,100.0,100.0,96.03960418701172,147400
2025-05-28,103.0,103.0,100.0,101.0,97.0,46500
2025-06-02,102.0,103.0,100.0,101.0,97.0,106000
2025-06-03,100.0,103.0,99.0,101.0,97.0,101100
2025-06-04,101.0,101.0,99.0,100.0,96.03960418701172,86900
2025-06-05,101.0,104.0,99.0,101.0,97.0,344600
2025-06-10,100.0,101.0,100.0,100.0,96.03960418701172,8300
2025-06-11,100.0,103.0,100.0,100.0,96.03960418701172,112200
2025-06-12,100.0,102.0,99.0,102.0,97.96039581298828,131200
2025-06-13,101.0,102.0,100.0,102.0,97.96039581298828,143900
2025-06-16,101.0,102.0,100.0,101.0,97.0,95100
2025-06-17,102.0,106.0,101.0,103.0,98.92079162597656,244000
2025-06-18,101.0,103.0,101.0,102.0,97.96039581298828,240700
2025-06-19,103.0,103.0,100.0,102.0,97.96039581298828,145100
2025-06-20,102.0,102.0,101.0,101.0,97.0,176500
2025-06-23,99.0,99.0,94.0,96.0,96.0,378000
2025-06-24,98.0,98.0,96.0,98.0,98.0,19500
2025-06-25,98.0,99.0,97.0,98.0,98.0,46900
2025-06-26,100.0,100.0,95.0,98.0,98.0,120100
2025-06-30,98.0,98.0,96.0,98.0,98.0,22300
2025-07-01,98.0,99.0,97.0,98.0,98.0,21400
2025-07-02,99.0,100.0,98.0,99.0,99.0,19700
2025-07-03,99.0,99.0,98.0,99.0,99.0,34100
2025-07-04,99.0,100.0,99.0,100.0,100.0,41100
2025-07-07,100.0,100.0,99.0,99.0,99.0,9200
2025-07-08,99.0,100.0,99.0,100.0,100.0,21400
2025-07-09,100.0,100.0,99.0,100.0,100.0,3600
2025-07-10,99.0,99.0,96.0,98.0,98.0,147200
2025-07-11,98.0,99.0,95.0,98.0,98.0,165500
2025-07-14,98.0,99.0,96.0,97.0,97.0,138000
2025-07-15,97.0,98.0,97.0,97.0,97.0,591100
2025-07-16,98.0,100.0,97.0,99.0,99.0,165100
2025-07-17,99.0,99.0,97.0,98.0,98.0,127700
2025-07-18,98.0,99.0,96.0,98.0,98.0,150600
2025-07-21,98.0,99.0,97.0,99.0,99.0,49700
2025-07-22,99.0,99.0,97.0,98.0,98.0,183200
2025-07-23,99.0,99.0,98.0,98.0,98.0,120400
2025-07-24,99.0,99.0,97.0,99.0,99.0,58400
2025-07-25,99.0,99.0,98.0,98.0,98.0,38500
2025-07-28,99.0,99.0,98.0,99.0,99.0,84800
2025-07-29,99.0,99.0,97.0,98.0,98.0,166500
2025-07-30,98.0,98.0,97.0,98.0,98.0,101500
2025-07-31,98.0,99.0,97.0,98.0,98.0,293600
2025-08-01,98.0,99.0,97.0,98.0,98.0,90300
2025-08-04,98.0,99.0,98.0,99.0,99.0,70900
2025-08-05,99.0,101.0,98.0,100.0,100.0,244400
2025-08-06,102.0,103.0,100.0,103.0,103.0,2039600
2025-08-07,103.0,104.0,101.0,104.0,104.0,716900
2025-08-08,105.0,105.0,102.0,104.0,104.0,436300
2025-08-11,104.0,110.0,104.0,105.0,105.0,2134000
