Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,9075.0,9275.0,9075.0,9250.0,9250.0,177400
2025-03-04,9250.0,9300.0,9200.0,9200.0,9200.0,28700
2025-03-05,9225.0,9525.0,9125.0,9125.0,9125.0,154400
2025-03-06,9200.0,9350.0,9175.0,9175.0,9175.0,71700
2025-03-07,9200.0,9450.0,9200.0,9200.0,9200.0,70900
2025-03-10,9300.0,9300.0,9225.0,9250.0,9250.0,11900
2025-03-11,9250.0,9275.0,9200.0,9225.0,9225.0,42100
2025-03-12,9225.0,9325.0,9225.0,9325.0,9325.0,12000
2025-03-13,9275.0,9375.0,9275.0,9300.0,9300.0,20000
2025-03-14,9300.0,9400.0,9275.0,9275.0,9275.0,9900
2025-03-17,9275.0,9275.0,9200.0,9225.0,9225.0,16800
2025-03-18,9225.0,9250.0,8900.0,9175.0,9175.0,79200
2025-03-19,9150.0,9175.0,9075.0,9150.0,9150.0,19000
2025-03-20,9250.0,9275.0,9150.0,9225.0,9225.0,19000
2025-03-21,9200.0,9200.0,9050.0,9075.0,9075.0,24400
2025-03-24,9075.0,9075.0,8850.0,8925.0,8925.0,44700
2025-03-25,9050.0,9100.0,9000.0,9075.0,9075.0,29200
2025-03-26,9100.0,10200.0,9075.0,9775.0,9775.0,457700
2025-03-27,9850.0,10075.0,9800.0,9900.0,9900.0,72300
2025-04-08,9450.0,9700.0,9000.0,9500.0,9500.0,328300
2025-04-09,9500.0,9875.0,9475.0,9500.0,9500.0,116500
2025-04-10,9600.0,9775.0,9500.0,9650.0,9650.0,213200
2025-04-11,9575.0,9750.0,9575.0,9600.0,9600.0,74200
2025-04-14,9650.0,9800.0,9600.0,9700.0,9700.0,145800
2025-04-15,9725.0,9775.0,9650.0,9750.0,9750.0,33200
2025-04-16,9775.0,9800.0,9650.0,9800.0,9800.0,117400
2025-04-17,9825.0,9925.0,9725.0,9750.0,9750.0,105600
2025-04-21,9825.0,9950.0,9800.0,9925.0,9925.0,49900
2025-04-22,9925.0,10200.0,9925.0,10100.0,10100.0,71700
2025-04-23,10150.0,10150.0,9700.0,9900.0,9900.0,120200
2025-04-24,9900.0,10000.0,9800.0,9975.0,9975.0,39800
2025-04-25,9975.0,10000.0,9800.0,10000.0,10000.0,23100
2025-04-28,10200.0,10400.0,10000.0,10400.0,10400.0,126000
2025-04-29,10450.0,10950.0,10300.0,10950.0,10950.0,155900
2025-04-30,11025.0,11500.0,10750.0,11100.0,11100.0,315300
2025-05-02,11150.0,11600.0,10825.0,11400.0,11400.0,221500
2025-05-05,11375.0,11475.0,11025.0,11325.0,11325.0,117700
2025-05-06,11325.0,11325.0,10825.0,10925.0,10925.0,85700
2025-05-07,10950.0,11000.0,10625.0,10850.0,10850.0,52600
2025-05-08,10950.0,10975.0,10575.0,10800.0,10800.0,69300
2025-05-09,10800.0,11000.0,10400.0,10600.0,10600.0,67400
2025-05-14,10625.0,10950.0,10400.0,10600.0,10600.0,89900
2025-05-15,10625.0,10650.0,10475.0,10625.0,10625.0,60900
2025-05-16,10600.0,10675.0,10475.0,10575.0,10575.0,64500
2025-05-19,10650.0,10850.0,10325.0,10550.0,10550.0,100400
2025-05-20,10525.0,10550.0,10275.0,10275.0,10275.0,140200
2025-05-21,10275.0,10700.0,10275.0,10400.0,10400.0,119700
2025-05-22,10400.0,10550.0,10300.0,10500.0,10500.0,32800
2025-05-23,10475.0,10500.0,10300.0,10475.0,10475.0,35400
2025-05-26,10450.0,10475.0,10050.0,10225.0,10225.0,145200
2025-05-27,10225.0,10300.0,10100.0,10225.0,10225.0,63200
2025-05-28,10225.0,10400.0,10225.0,10350.0,10350.0,52600
2025-06-02,10400.0,10400.0,10150.0,10375.0,10375.0,44800
2025-06-03,10375.0,11000.0,10375.0,10675.0,10675.0,106000
2025-06-04,10750.0,10750.0,10425.0,10450.0,10450.0,41300
2025-06-05,10550.0,10850.0,10475.0,10500.0,10500.0,34300
2025-06-10,10525.0,10750.0,10500.0,10550.0,10550.0,78300
2025-06-11,10600.0,10850.0,10550.0,10550.0,10550.0,49600
2025-06-12,10600.0,10675.0,10500.0,10550.0,10550.0,78800
2025-06-13,10500.0,10525.0,10500.0,10525.0,10525.0,29300
2025-06-16,10525.0,10600.0,10475.0,10500.0,10500.0,71700
2025-06-17,10500.0,10525.0,10450.0,10475.0,10475.0,82300
2025-06-18,10500.0,10575.0,10350.0,10350.0,10350.0,118300
2025-06-19,10350.0,10525.0,10350.0,10500.0,10500.0,127300
2025-06-20,10500.0,10550.0,10400.0,10475.0,10475.0,28400
2025-06-23,10475.0,10500.0,10325.0,10350.0,10350.0,107800
2025-06-24,10325.0,10625.0,10325.0,10625.0,10625.0,27200
2025-06-25,10750.0,10975.0,10500.0,10525.0,10525.0,131100
2025-06-26,10575.0,10950.0,10525.0,10625.0,10625.0,100800
2025-06-30,10600.0,11550.0,10525.0,10825.0,10825.0,116200
2025-07-01,10900.0,11375.0,10800.0,11025.0,11025.0,53700
2025-07-02,11025.0,11600.0,10950.0,11375.0,11375.0,116200
2025-07-03,11375.0,11850.0,11375.0,11800.0,11800.0,171100
2025-07-04,11850.0,13475.0,11850.0,12000.0,12000.0,342300
2025-07-07,12000.0,12875.0,11300.0,12475.0,12475.0,100000
2025-07-08,12475.0,12600.0,11750.0,12075.0,12075.0,109100
2025-07-09,11750.0,13000.0,11525.0,12150.0,12150.0,50100
2025-07-10,12150.0,12300.0,12000.0,12200.0,12200.0,8000
2025-07-11,12200.0,12925.0,12075.0,12825.0,12825.0,119200
2025-07-14,12825.0,13250.0,12325.0,13200.0,13200.0,79100
2025-07-15,13200.0,13450.0,12625.0,12725.0,12725.0,53000
2025-07-16,12725.0,12925.0,12625.0,12825.0,12825.0,58500
2025-07-17,12850.0,12925.0,12725.0,12800.0,12800.0,3700
2025-07-18,12825.0,12850.0,12500.0,12775.0,12775.0,31700
2025-07-21,12775.0,12775.0,12600.0,12775.0,12775.0,14800
2025-07-22,12775.0,12775.0,12475.0,12550.0,12550.0,83200
2025-07-23,12525.0,13075.0,12500.0,12700.0,12700.0,17900
2025-07-24,12750.0,12750.0,12400.0,12650.0,12650.0,89200
2025-07-25,12500.0,12575.0,12400.0,12500.0,12500.0,24000
2025-07-28,12525.0,13600.0,12525.0,12775.0,12775.0,107600
2025-07-29,12775.0,13175.0,12775.0,13175.0,13175.0,48800
2025-07-30,13200.0,14000.0,13125.0,13725.0,13725.0,299100
2025-07-31,13725.0,14000.0,13150.0,13500.0,13500.0,58100
2025-08-01,13500.0,13700.0,13225.0,13300.0,13300.0,53800
2025-08-04,13750.0,13975.0,13075.0,13525.0,13525.0,72600
2025-08-05,13525.0,14125.0,13500.0,14025.0,14025.0,120400
2025-08-06,14050.0,14200.0,13875.0,14100.0,14100.0,49100
2025-08-07,14100.0,14100.0,13900.0,13975.0,13975.0,22300
2025-08-08,13975.0,14075.0,13850.0,14050.0,14050.0,54600
2025-08-11,14200.0,15050.0,14175.0,14925.0,14925.0,206900
