Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,50.0,51.0,50.0,50.0,50.0,11567700
2025-03-04,50.0,50.0,50.0,50.0,50.0,1897700
2025-03-05,50.0,50.0,50.0,50.0,50.0,3990300
2025-03-06,50.0,50.0,50.0,50.0,50.0,2429600
2025-03-07,50.0,50.0,50.0,50.0,50.0,1050400
2025-03-10,50.0,50.0,50.0,50.0,50.0,330400
2025-03-11,50.0,50.0,50.0,50.0,50.0,450700
2025-03-12,50.0,50.0,50.0,50.0,50.0,241600
2025-03-13,50.0,50.0,50.0,50.0,50.0,257800
2025-03-14,50.0,50.0,50.0,50.0,50.0,179300
2025-03-17,50.0,50.0,50.0,50.0,50.0,278600
2025-03-18,50.0,50.0,50.0,50.0,50.0,100700
2025-03-19,50.0,50.0,50.0,50.0,50.0,247200
2025-03-20,50.0,50.0,50.0,50.0,50.0,217800
2025-03-21,50.0,50.0,50.0,50.0,50.0,524800
2025-03-24,50.0,50.0,50.0,50.0,50.0,371000
2025-03-25,50.0,50.0,50.0,50.0,50.0,263400
2025-03-26,50.0,50.0,50.0,50.0,50.0,916900
2025-03-27,50.0,50.0,50.0,50.0,50.0,227800
2025-04-08,50.0,50.0,50.0,50.0,50.0,844400
2025-04-09,50.0,50.0,50.0,50.0,50.0,387100
2025-04-10,50.0,50.0,50.0,50.0,50.0,942800
2025-04-11,50.0,50.0,50.0,50.0,50.0,258600
2025-04-14,50.0,50.0,50.0,50.0,50.0,345600
2025-04-15,50.0,50.0,50.0,50.0,50.0,241200
2025-04-16,50.0,50.0,50.0,50.0,50.0,5081300
2025-04-17,50.0,50.0,50.0,50.0,50.0,634000
2025-04-21,50.0,50.0,50.0,50.0,50.0,160600
2025-04-22,50.0,51.0,50.0,51.0,51.0,39125500
2025-04-23,51.0,54.0,50.0,51.0,51.0,95132000
2025-04-24,51.0,53.0,51.0,52.0,52.0,27684900
2025-04-25,52.0,54.0,52.0,53.0,53.0,16606000
2025-04-28,54.0,59.0,54.0,56.0,56.0,125299200
2025-04-29,56.0,58.0,53.0,54.0,54.0,55837400
2025-04-30,55.0,57.0,54.0,54.0,54.0,30865400
2025-05-02,54.0,56.0,52.0,53.0,53.0,29378600
2025-05-05,53.0,55.0,53.0,54.0,54.0,11293300
2025-05-06,54.0,55.0,53.0,55.0,55.0,13105700
2025-05-07,54.0,56.0,54.0,55.0,55.0,20974900
2025-05-08,55.0,56.0,53.0,54.0,54.0,9631100
2025-05-09,54.0,55.0,53.0,54.0,54.0,5466900
2025-05-14,54.0,56.0,53.0,54.0,54.0,8534700
2025-05-15,54.0,55.0,53.0,54.0,54.0,8117800
2025-05-16,54.0,55.0,53.0,54.0,54.0,13035900
2025-05-19,54.0,55.0,53.0,55.0,55.0,17961200
2025-05-20,55.0,56.0,53.0,53.0,53.0,14954700
2025-05-21,53.0,55.0,53.0,54.0,54.0,8554800
2025-05-22,54.0,55.0,53.0,54.0,54.0,13040000
2025-05-23,54.0,55.0,53.0,53.0,53.0,11466100
2025-05-26,53.0,55.0,52.0,53.0,53.0,16995300
2025-05-27,53.0,53.0,52.0,52.0,52.0,9365900
2025-05-28,52.0,53.0,50.0,52.0,52.0,32633800
2025-06-02,52.0,52.0,51.0,52.0,52.0,10326900
2025-06-03,52.0,53.0,51.0,51.0,51.0,21834000
2025-06-04,52.0,53.0,51.0,52.0,52.0,17634100
2025-06-05,52.0,54.0,51.0,52.0,52.0,20372600
2025-06-10,52.0,53.0,52.0,52.0,52.0,15327600
2025-06-11,52.0,54.0,52.0,53.0,53.0,26737000
2025-06-12,53.0,54.0,52.0,53.0,53.0,6846800
2025-06-13,52.0,53.0,52.0,52.0,52.0,23275300
2025-06-16,52.0,53.0,51.0,51.0,51.0,5865600
2025-06-17,51.0,53.0,51.0,51.0,51.0,28640300
2025-06-18,52.0,52.0,50.0,51.0,51.0,18583400
2025-06-19,51.0,52.0,50.0,51.0,51.0,12272700
2025-06-20,51.0,51.0,50.0,50.0,50.0,19760600
2025-06-23,50.0,51.0,50.0,50.0,50.0,19530700
2025-06-24,50.0,51.0,50.0,50.0,50.0,20306100
2025-06-25,50.0,51.0,50.0,50.0,50.0,17098600
2025-06-26,50.0,51.0,50.0,51.0,51.0,4690100
2025-06-30,51.0,51.0,50.0,51.0,51.0,5614700
2025-07-01,50.0,52.0,50.0,51.0,51.0,22417100
2025-07-02,51.0,52.0,51.0,52.0,52.0,7362100
2025-07-03,52.0,52.0,51.0,51.0,51.0,4937400
2025-07-04,51.0,52.0,50.0,51.0,51.0,6011300
2025-07-07,51.0,51.0,50.0,51.0,51.0,4554900
2025-07-08,50.0,51.0,50.0,50.0,50.0,5413100
2025-07-09,50.0,51.0,50.0,51.0,51.0,12567400
2025-07-10,51.0,52.0,50.0,51.0,51.0,16066700
2025-07-11,51.0,51.0,50.0,51.0,51.0,8563900
2025-07-14,51.0,51.0,50.0,50.0,50.0,6399400
2025-07-15,50.0,51.0,50.0,51.0,51.0,13431300
2025-07-16,51.0,51.0,50.0,50.0,50.0,22395000
2025-07-17,51.0,51.0,50.0,50.0,50.0,11882800
2025-07-18,50.0,51.0,50.0,51.0,51.0,13075600
2025-07-21,51.0,51.0,50.0,50.0,50.0,19042400
2025-07-22,50.0,51.0,50.0,50.0,50.0,7926600
2025-07-23,50.0,51.0,50.0,50.0,50.0,5430100
2025-07-24,50.0,52.0,50.0,51.0,51.0,21058700
2025-07-25,51.0,51.0,50.0,50.0,50.0,8566600
2025-07-28,50.0,51.0,50.0,50.0,50.0,19013900
2025-07-29,51.0,51.0,50.0,50.0,50.0,7885700
2025-07-30,50.0,51.0,50.0,51.0,51.0,12743100
2025-07-31,51.0,51.0,50.0,51.0,51.0,10366800
2025-08-01,51.0,51.0,50.0,51.0,51.0,13224100
2025-08-04,50.0,51.0,50.0,51.0,51.0,19800100
2025-08-05,50.0,57.0,50.0,56.0,56.0,270207200
2025-08-06,56.0,56.0,52.0,52.0,52.0,93311600
2025-08-07,53.0,54.0,51.0,53.0,53.0,45844600
2025-08-08,53.0,54.0,51.0,52.0,52.0,27933100
2025-08-11,52.0,53.0,51.0,52.0,52.0,8826700
