Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,50.0,50.0,50.0,50.0,50.0,5000
2025-03-04,50.0,50.0,50.0,50.0,50.0,35200
2025-03-05,50.0,50.0,50.0,50.0,50.0,3200
2025-03-06,50.0,50.0,50.0,50.0,50.0,17300
2025-03-07,50.0,50.0,50.0,50.0,50.0,16100
2025-03-10,50.0,50.0,50.0,50.0,50.0,3700
2025-03-11,50.0,50.0,50.0,50.0,50.0,35700
2025-03-12,50.0,50.0,50.0,50.0,50.0,7900
2025-03-13,50.0,50.0,50.0,50.0,50.0,800
2025-03-14,50.0,50.0,50.0,50.0,50.0,900
2025-03-17,50.0,50.0,50.0,50.0,50.0,3500
2025-03-18,50.0,50.0,50.0,50.0,50.0,3400
2025-03-19,50.0,50.0,50.0,50.0,50.0,539500
2025-03-20,50.0,50.0,50.0,50.0,50.0,12100
2025-03-21,50.0,50.0,50.0,50.0,50.0,2300
2025-03-24,50.0,50.0,50.0,50.0,50.0,500
2025-03-25,50.0,50.0,50.0,50.0,50.0,1234000
2025-03-26,50.0,50.0,50.0,50.0,50.0,1501600
2025-03-27,50.0,51.0,50.0,50.0,50.0,19821300
2025-04-08,50.0,50.0,50.0,50.0,50.0,1587400
2025-04-09,50.0,50.0,50.0,50.0,50.0,703200
2025-04-10,50.0,50.0,50.0,50.0,50.0,194100
2025-04-11,50.0,50.0,50.0,50.0,50.0,806300
2025-04-14,50.0,50.0,50.0,50.0,50.0,438400
2025-04-15,50.0,51.0,50.0,50.0,50.0,6354300
2025-04-16,50.0,51.0,50.0,50.0,50.0,8950200
2025-04-17,50.0,53.0,50.0,52.0,52.0,15118000
2025-04-21,52.0,53.0,50.0,51.0,51.0,4876100
2025-04-22,51.0,51.0,50.0,51.0,51.0,291300
2025-04-23,51.0,51.0,50.0,51.0,51.0,4258500
2025-04-24,50.0,51.0,50.0,51.0,51.0,2194000
2025-04-25,50.0,51.0,50.0,50.0,50.0,1823000
2025-04-28,50.0,51.0,50.0,50.0,50.0,779700
2025-04-29,50.0,51.0,50.0,50.0,50.0,1387800
2025-04-30,51.0,51.0,50.0,51.0,51.0,236200
2025-05-02,51.0,51.0,50.0,50.0,50.0,282200
2025-05-05,50.0,51.0,50.0,51.0,51.0,1242200
2025-05-06,50.0,51.0,50.0,51.0,51.0,1342300
2025-05-07,51.0,52.0,50.0,51.0,51.0,4655600
2025-05-08,51.0,58.0,50.0,55.0,55.0,36511500
2025-05-09,55.0,56.0,52.0,52.0,52.0,5609800
2025-05-14,52.0,57.0,52.0,54.0,54.0,14853000
2025-05-15,54.0,55.0,53.0,53.0,53.0,3227700
2025-05-16,53.0,54.0,52.0,52.0,52.0,5549900
2025-05-19,52.0,54.0,52.0,53.0,53.0,2925900
2025-05-20,53.0,53.0,52.0,52.0,52.0,1955700
2025-05-21,52.0,53.0,51.0,52.0,52.0,1397400
2025-05-22,52.0,58.0,51.0,54.0,54.0,17469400
2025-05-23,55.0,55.0,52.0,54.0,54.0,4036600
2025-05-26,53.0,54.0,51.0,52.0,52.0,4185400
2025-05-27,52.0,53.0,51.0,52.0,52.0,2875500
2025-05-28,52.0,53.0,51.0,51.0,51.0,593400
2025-06-02,51.0,54.0,51.0,52.0,52.0,4953000
2025-06-03,53.0,53.0,51.0,51.0,51.0,4338500
2025-06-04,52.0,53.0,51.0,52.0,52.0,2633800
2025-06-05,52.0,52.0,51.0,51.0,51.0,2738600
2025-06-10,51.0,52.0,50.0,51.0,51.0,2550700
2025-06-11,52.0,53.0,51.0,53.0,53.0,6844200
2025-06-12,53.0,55.0,52.0,55.0,55.0,3401300
2025-06-13,56.0,60.0,55.0,59.0,59.0,19593100
2025-06-16,60.0,64.0,60.0,64.0,64.0,16358800
2025-06-17,66.0,67.0,60.0,65.0,65.0,12262500
2025-06-18,66.0,87.0,65.0,87.0,87.0,156979000
2025-06-19,94.0,100.0,78.0,84.0,84.0,199434600
2025-06-20,84.0,90.0,81.0,83.0,83.0,33982500
2025-06-23,82.0,84.0,79.0,83.0,83.0,18491200
2025-06-24,90.0,90.0,82.0,85.0,85.0,15941700
2025-06-25,86.0,90.0,82.0,85.0,85.0,35585300
2025-06-26,86.0,86.0,82.0,82.0,82.0,9702700
2025-06-30,83.0,83.0,74.0,78.0,78.0,21942800
2025-07-01,77.0,80.0,76.0,76.0,76.0,4249200
2025-07-02,77.0,81.0,71.0,74.0,74.0,22945700
2025-07-03,74.0,78.0,71.0,72.0,72.0,9655700
2025-07-04,74.0,83.0,72.0,76.0,76.0,59575300
2025-07-07,77.0,78.0,74.0,76.0,76.0,8588900
2025-07-08,76.0,76.0,73.0,75.0,75.0,5725700
2025-07-09,76.0,77.0,75.0,76.0,76.0,6074000
2025-07-10,77.0,81.0,75.0,77.0,77.0,29652500
2025-07-11,78.0,80.0,75.0,78.0,78.0,10387200
2025-07-14,78.0,87.0,75.0,81.0,81.0,94616500
2025-07-15,81.0,85.0,79.0,81.0,81.0,34031100
2025-07-16,84.0,86.0,79.0,79.0,79.0,86628100
2025-07-17,79.0,80.0,76.0,79.0,79.0,14037500
2025-07-18,79.0,80.0,77.0,79.0,79.0,5316200
2025-07-21,79.0,84.0,78.0,82.0,82.0,24293100
2025-07-22,81.0,83.0,80.0,81.0,81.0,9484900
2025-07-23,81.0,82.0,79.0,80.0,80.0,6546300
2025-07-24,80.0,82.0,80.0,81.0,81.0,5018900
2025-07-25,82.0,82.0,80.0,81.0,81.0,3504900
2025-07-28,80.0,82.0,80.0,81.0,81.0,3356100
2025-07-29,81.0,83.0,80.0,83.0,83.0,8132900
2025-07-30,83.0,86.0,76.0,81.0,81.0,33021900
2025-07-31,80.0,82.0,78.0,81.0,81.0,10280700
2025-08-01,82.0,83.0,79.0,81.0,81.0,7375100
2025-08-04,81.0,81.0,79.0,81.0,81.0,6420900
2025-08-05,81.0,84.0,80.0,81.0,81.0,4010600
2025-08-06,81.0,81.0,79.0,81.0,81.0,5055200
2025-08-07,81.0,81.0,79.0,81.0,81.0,4290200
2025-08-08,80.0,81.0,79.0,79.0,79.0,3157900
2025-08-11,80.0,81.0,79.0,81.0,81.0,5634900
