Date,Open,High,Low,Close,Adj Close,Volume
2025-05-16,40.0,40.0,38.0,39.0,39.0,2828700
2025-05-19,39.0,40.0,38.0,40.0,40.0,759600
2025-05-20,39.0,44.0,39.0,44.0,44.0,11636000
2025-05-21,44.0,44.0,40.0,40.0,40.0,4330500
2025-05-22,40.0,43.0,38.0,41.0,41.0,7674700
2025-05-23,40.0,40.0,39.0,40.0,40.0,1623300
2025-05-26,40.0,41.0,38.0,39.0,39.0,3209800
2025-05-27,40.0,40.0,37.0,39.0,39.0,2866900
2025-05-28,39.0,40.0,38.0,40.0,40.0,1537000
2025-06-02,40.0,40.0,38.0,39.0,39.0,1366100
2025-06-03,38.0,42.0,38.0,40.0,40.0,5083500
2025-06-04,40.0,41.0,38.0,38.0,38.0,4122200
2025-06-05,38.0,39.0,38.0,38.0,38.0,742700
2025-06-10,39.0,39.0,37.0,39.0,39.0,2825900
2025-06-11,39.0,40.0,38.0,39.0,39.0,2422900
2025-06-12,39.0,40.0,38.0,39.0,39.0,2441200
2025-06-13,39.0,39.0,36.0,38.0,38.0,4987000
2025-06-16,38.0,38.0,35.0,35.0,35.0,3644500
2025-06-17,35.0,38.0,35.0,38.0,38.0,2690600
2025-06-18,37.0,38.0,35.0,37.0,37.0,690800
2025-06-19,38.0,38.0,35.0,37.0,37.0,2852000
2025-06-20,37.0,38.0,35.0,38.0,38.0,3553300
2025-06-23,38.0,38.0,35.0,36.0,36.0,6639300
2025-06-24,35.0,36.0,34.0,35.0,35.0,1814100
2025-06-25,35.0,37.0,34.0,35.0,35.0,1689800
2025-06-26,35.0,36.0,34.0,34.0,34.0,965200
2025-06-30,34.0,37.0,34.0,37.0,37.0,4741800
2025-07-01,40.0,40.0,34.0,35.0,35.0,27805500
2025-07-02,35.0,37.0,34.0,35.0,35.0,6648500
2025-07-03,35.0,38.0,35.0,38.0,38.0,6098300
2025-07-04,39.0,39.0,36.0,38.0,38.0,1346700
2025-07-07,38.0,38.0,36.0,37.0,37.0,735000
2025-07-08,38.0,39.0,35.0,37.0,37.0,1745700
2025-07-09,36.0,37.0,34.0,36.0,36.0,5486700
2025-07-10,36.0,39.0,35.0,37.0,37.0,84392600
2025-07-11,38.0,38.0,36.0,36.0,36.0,20345700
2025-07-14,39.0,39.0,36.0,37.0,37.0,3670300
2025-07-15,37.0,37.0,35.0,36.0,36.0,4611400
2025-07-16,35.0,36.0,34.0,36.0,36.0,6869300
2025-07-17,36.0,39.0,35.0,39.0,39.0,18356800
2025-07-18,42.0,42.0,39.0,42.0,42.0,25687100
2025-07-21,46.0,46.0,39.0,41.0,41.0,13259000
2025-07-22,41.0,44.0,40.0,41.0,41.0,13711000
2025-07-23,41.0,42.0,39.0,41.0,41.0,4192200
2025-07-24,42.0,44.0,41.0,41.0,41.0,6343600
2025-07-25,42.0,43.0,39.0,41.0,41.0,7046500
2025-07-28,41.0,41.0,40.0,40.0,40.0,1952700
2025-07-29,40.0,41.0,40.0,41.0,41.0,3299000
2025-07-30,40.0,41.0,39.0,40.0,40.0,5242700
2025-07-31,40.0,41.0,40.0,40.0,40.0,5334400
2025-08-01,42.0,44.0,41.0,44.0,44.0,22227300
2025-08-04,48.0,48.0,46.0,48.0,48.0,8964100
2025-08-05,52.0,52.0,52.0,52.0,52.0,5170600
2025-08-06,57.0,57.0,57.0,57.0,57.0,3447400
2025-08-07,62.0,62.0,52.0,62.0,62.0,120591600
2025-08-08,65.0,68.0,58.0,63.0,63.0,50507600
2025-08-11,64.0,66.0,58.0,59.0,59.0,18098400
