Datetime,Open,High,Low,Close,Adj Close,Volume
2024-01-30 07:00:00+07:00,141.0,141.0,112.0,141.0,141.0,2140050800
2024-01-31 07:00:00+07:00,151.0,170.0,127.0,129.0,129.0,1175796900
2024-02-01 07:00:00+07:00,129.0,129.0,114.0,116.0,116.0,480813300
2024-02-02 07:00:00+07:00,109.0,130.0,109.0,117.0,117.0,382535400
2024-02-05 07:00:00+07:00,117.0,121.0,114.0,115.0,115.0,137887900
2024-02-06 07:00:00+07:00,115.0,117.0,111.0,115.0,115.0,149181800
2024-02-07 07:00:00+07:00,108.0,115.0,104.0,104.0,104.0,155360400
2024-02-12 07:00:00+07:00,105.0,105.0,88.0,92.0,92.0,268911400
2024-02-13 07:00:00+07:00,61.0,93.0,61.0,83.0,83.0,254123600
2024-02-15 07:00:00+07:00,78.0,89.0,77.0,79.0,79.0,154441300
2024-02-16 07:00:00+07:00,71.0,81.0,71.0,80.0,80.0,147043600
2024-02-19 07:00:00+07:00,80.0,88.0,79.0,86.0,86.0,189075500
2024-02-20 07:00:00+07:00,86.0,88.0,82.0,83.0,83.0,69805600
2024-02-21 07:00:00+07:00,83.0,84.0,80.0,81.0,81.0,43429600
2024-02-22 07:00:00+07:00,81.0,86.0,79.0,85.0,85.0,80814300
2024-02-23 07:00:00+07:00,86.0,102.0,85.0,101.0,101.0,498028400
2024-02-26 07:00:00+07:00,103.0,104.0,93.0,97.0,97.0,288329300
2024-02-27 07:00:00+07:00,100.0,110.0,93.0,103.0,103.0,353496900
2024-02-28 07:00:00+07:00,105.0,109.0,101.0,102.0,102.0,253110600
2024-02-29 07:00:00+07:00,103.0,105.0,97.0,97.0,97.0,76054700
2024-03-01 07:00:00+07:00,97.0,103.0,95.0,95.0,95.0,67550500
2024-03-04 07:00:00+07:00,95.0,96.0,90.0,90.0,90.0,66750000
2024-03-05 07:00:00+07:00,91.0,97.0,86.0,93.0,93.0,88572200
2024-03-06 07:00:00+07:00,96.0,101.0,93.0,99.0,99.0,129652900
2024-03-07 07:00:00+07:00,100.0,101.0,94.0,94.0,94.0,54459700
2024-03-08 07:00:00+07:00,94.0,97.0,93.0,94.0,94.0,21738700
2024-03-13 07:00:00+07:00,94.0,96.0,89.0,90.0,90.0,45447300
2024-03-14 07:00:00+07:00,90.0,94.0,87.0,89.0,89.0,31666500
2024-03-15 07:00:00+07:00,89.0,92.0,87.0,88.0,88.0,39692000
2024-03-18 07:00:00+07:00,86.0,90.0,86.0,88.0,88.0,26051200
2024-03-19 07:00:00+07:00,88.0,89.0,86.0,88.0,88.0,22207800
2024-03-20 07:00:00+07:00,88.0,89.0,84.0,86.0,86.0,45972200
2024-03-21 07:00:00+07:00,84.0,95.0,84.0,92.0,92.0,74380100
2024-03-22 07:00:00+07:00,92.0,94.0,88.0,89.0,89.0,27908900
2024-03-25 07:00:00+07:00,89.0,89.0,89.0,89.0,89.0,0
2024-03-26 07:00:00+07:00,89.0,89.0,89.0,89.0,89.0,0
2024-03-27 07:00:00+07:00,89.0,92.0,87.0,91.0,91.0,55608500
2024-03-28 07:00:00+07:00,91.0,92.0,88.0,89.0,89.0,35268700
2024-04-01 07:00:00+07:00,89.0,90.0,85.0,85.0,85.0,39042400
2024-04-02 07:00:00+07:00,85.0,86.0,82.0,83.0,83.0,61485000
2024-04-03 07:00:00+07:00,83.0,83.0,78.0,78.0,78.0,50782600
2024-04-04 07:00:00+07:00,78.0,82.0,77.0,80.0,80.0,38591000
2024-04-05 07:00:00+07:00,79.0,83.0,79.0,82.0,82.0,41184800
2024-04-16 07:00:00+07:00,82.0,82.0,78.0,81.0,81.0,34237000
2024-04-17 07:00:00+07:00,72.0,85.0,72.0,83.0,83.0,71899200
2024-04-18 07:00:00+07:00,83.0,84.0,80.0,82.0,82.0,53847000
2024-04-19 07:00:00+07:00,82.0,82.0,78.0,80.0,80.0,40258700
2024-04-22 07:00:00+07:00,80.0,83.0,80.0,83.0,83.0,24934100
2024-04-23 07:00:00+07:00,83.0,84.0,80.0,82.0,82.0,24545900
2024-04-24 07:00:00+07:00,81.0,83.0,80.0,83.0,83.0,48367900
2024-04-25 07:00:00+07:00,82.0,83.0,80.0,82.0,82.0,32401100
2024-04-26 07:00:00+07:00,82.0,82.0,77.0,79.0,79.0,35301000
2024-04-29 07:00:00+07:00,79.0,80.0,75.0,78.0,78.0,56348000
2024-04-30 07:00:00+07:00,78.0,85.0,77.0,81.0,81.0,149859300
2024-05-02 07:00:00+07:00,81.0,83.0,79.0,81.0,81.0,59431900
2024-05-03 07:00:00+07:00,81.0,84.0,78.0,80.0,80.0,69445200
2024-05-06 07:00:00+07:00,80.0,84.0,79.0,81.0,81.0,115851000
2024-05-07 07:00:00+07:00,80.0,86.0,80.0,82.0,82.0,97599500
2024-05-08 07:00:00+07:00,82.0,82.0,79.0,80.0,80.0,33346200
2024-05-13 07:00:00+07:00,80.0,80.0,78.0,80.0,80.0,20358300
2024-05-14 07:00:00+07:00,79.0,81.0,79.0,80.0,80.0,15752700
2024-05-15 07:00:00+07:00,80.0,82.0,79.0,81.0,81.0,36370300
2024-05-16 07:00:00+07:00,81.0,86.0,80.0,84.0,84.0,164989800
2024-05-17 07:00:00+07:00,84.0,90.0,83.0,89.0,89.0,106125400
2024-05-20 07:00:00+07:00,90.0,93.0,88.0,90.0,90.0,122257200
