Datetime,Open,High,Low,Close,Adj Close,Volume
2025-08-11 09:00:00+07:00,,,,,,
2025-08-11 09:01:00+07:00,,,,,,
2025-08-11 09:02:00+07:00,,,,,,
2025-08-11 09:03:00+07:00,,,,,,
2025-08-11 09:04:00+07:00,,,,,,
2025-08-11 09:05:00+07:00,,,,,,
2025-08-11 09:06:00+07:00,,,,,,
2025-08-11 09:07:00+07:00,,,,,,
2025-08-11 09:08:00+07:00,50.0,50.0,50.0,50.0,50.0,0.0
2025-08-11 09:09:00+07:00,50.0,50.0,50.0,50.0,50.0,1000.0
2025-08-11 09:10:00+07:00,,,,,,
2025-08-11 09:11:00+07:00,,,,,,
2025-08-11 09:12:00+07:00,,,,,,
2025-08-11 09:13:00+07:00,,,,,,
2025-08-11 09:14:00+07:00,50.0,50.0,50.0,50.0,50.0,1000.0
2025-08-11 09:15:00+07:00,,,,,,
2025-08-11 09:16:00+07:00,,,,,,
2025-08-11 09:17:00+07:00,50.0,50.0,50.0,50.0,50.0,99500.0
2025-08-11 09:18:00+07:00,,,,,,
2025-08-11 09:19:00+07:00,,,,,,
2025-08-11 09:20:00+07:00,,,,,,
2025-08-11 09:21:00+07:00,,,,,,
2025-08-11 09:22:00+07:00,,,,,,
2025-08-11 09:23:00+07:00,,,,,,
2025-08-11 09:24:00+07:00,,,,,,
2025-08-11 09:25:00+07:00,,,,,,
2025-08-11 09:26:00+07:00,,,,,,
2025-08-11 09:27:00+07:00,,,,,,
2025-08-11 09:28:00+07:00,,,,,,
2025-08-11 09:29:00+07:00,,,,,,
2025-08-11 09:30:00+07:00,,,,,,
2025-08-11 09:31:00+07:00,50.0,50.0,50.0,50.0,50.0,600.0
2025-08-11 09:32:00+07:00,50.0,50.0,50.0,50.0,50.0,100.0
2025-08-11 09:33:00+07:00,50.0,50.0,50.0,50.0,50.0,49800.0
2025-08-11 09:34:00+07:00,,,,,,
2025-08-11 09:35:00+07:00,,,,,,
2025-08-11 09:36:00+07:00,,,,,,
2025-08-11 09:37:00+07:00,50.0,50.0,50.0,50.0,50.0,0.0
2025-08-11 09:38:00+07:00,,,,,,
2025-08-11 09:39:00+07:00,,,,,,
2025-08-11 09:40:00+07:00,,,,,,
2025-08-11 09:41:00+07:00,,,,,,
2025-08-11 09:42:00+07:00,,,,,,
2025-08-11 09:43:00+07:00,,,,,,
